,popup,Plant state abbreviation_x,lat,lon,Plant state abbreviation_y,plant_annual_generation,state_annual_generation,perc_gen_state
350,Perrin Ranch Wind LLC,AZ,35.415556,-112.271111,AZ,208377,108500902.0,0.1920509379728474
351,Phoenix Airport East Economy Lot,AZ,33.4345,-111.9842,AZ,1521,108500902.0,0.0014018316640353
352,Phoenix Airport Rental Car Center,AZ,33.43042,-112.04484,AZ,5849,108500902.0,0.0053907385949657
353,"Picture Rocks Solar, LLC",AZ,32.369722,-111.242778,AZ,51184,108500902.0,0.0471738013754023
354,Pima Community College,AZ,32.166494,-110.816669,AZ,1201,108500902.0,0.0011069032403067
355,Pima Community College - East Campus,AZ,32.146142,-110.990639,AZ,2769,108500902.0,0.0025520525165772
356,Pima Community College NW,AZ,32.343491,-111.02786,AZ,3057,108500902.0,0.002817488097933
357,Pima Energy Storage System,AZ,32.251647,-110.991333,AZ,-536,108500902.0,-0.0004940051097455
358,Pinal Central Energy Center Hybrid,AZ,32.875697,-111.551111,AZ,60149,108500902.0,0.0554364054964262
359,"Poseidon Solar, LLC",AZ,33.160601,-111.484011,AZ,51111,108500902.0,0.0471065208287392
360,"Poseidon Wind, LLC",AZ,34.6062,-110.1734,AZ,119130,108500902.0,0.1097963222462427
361,Prairie Fire,AZ,32.116389,-110.82,AZ,8768,108500902.0,0.0080810388101658
362,Prescott Airport,AZ,34.6584,-112.4008,AZ,4571,108500902.0,0.0042128682026993
363,Prescott Solar Plant,AZ,34.649444,-112.4275,AZ,22752,108500902.0,0.0209694109271091
364,Punkin Center Battery Storage,AZ,33.87581,-111.31356,AZ,0,108500902.0,0.0
365,Queen Creek Solar Farm,AZ,33.2675,-111.612222,AZ,48565,108500902.0,0.0447599965574479
366,RE Ajo 1 LLC,AZ,32.367013,-112.831401,AZ,8593,108500902.0,0.0079197498284392
367,RE Bagdad Solar I LLC,AZ,34.585833,-113.177222,AZ,26014,108500902.0,0.0239758375464933
368,RE Gillespie 1 LLC,AZ,33.026389,-112.665833,AZ,39920,108500902.0,0.0367923208601528
369,Red Horse 2,AZ,32.286111,-110.088056,AZ,212935,108500902.0,0.1962518247083328
370,Red Horse III,AZ,32.13597,-110.05129,AZ,74243,108500902.0,0.0684261592590262
371,Red Rock,AZ,32.551026,-111.289232,AZ,118387,108500902.0,0.1091115353123976
372,Rio Rico Solar,AZ,31.5,-111.008056,AZ,9829,108500902.0,0.0090589108650912
373,Roger Road WWTP,AZ,32.2894,-111.0331,AZ,1203,108500902.0,0.001108746542955
374,Roosevelt,AZ,33.671104,-111.161786,AZ,64165,108500902.0,0.0591377572142211
375,Saddle Mountain Solar I,AZ,33.378333,-113.180833,AZ,34264,108500902.0,0.0315794609707484
376,Saint Solar,AZ,32.866276,-111.502402,AZ,297966,108500902.0,0.2746207584523122
377,Sandstone Solar,AZ,33.035556,-111.430278,AZ,119293,108500902.0,0.1099465514120795
378,Santan,AZ,33.3325,-111.7503,AZ,5053431,108500902.0,4.657501372661399
379,Solana Generating Station,AZ,32.922294,-112.95594,AZ,694568,108500902.0,0.6401495169136935
380,South Consolidated,AZ,33.466477,-111.781064,AZ,0,108500902.0,0.0
381,Stewart Mountain,AZ,33.5661,-111.536,AZ,26612,108500902.0,0.0245269850383363
382,Sulphur Springs,AZ,32.0628,-109.919283,AZ,53521,108500902.0,0.0493277005199459
383,Sun Streams 2,AZ,33.320406,-112.816771,AZ,249504,108500902.0,0.2299556919812519
384,"Sun Streams, LLC",AZ,33.34884,-112.8348,AZ,410254,108500902.0,0.3781111423387061
385,T0588 Phoenix - AZ,AZ,33.447225,-112.217664,AZ,2647,108500902.0,0.0024396110550306
386,Tech Park Solar,AZ,32.097884,-110.815696,AZ,13862,108500902.0,0.0127759306553967
387,UASTP I,AZ,32.096973,-110.8106,AZ,1539,108500902.0,0.0014184213878701
388,Union HS at Casa Grande,AZ,32.936944,-111.738611,AZ,3136,108500902.0,0.002890298552541
389,University of Arizona - Biosphere 2,AZ,32.578011,-110.852608,AZ,38,108500902.0,3.502275031778077e-05
390,Valencia,AZ,31.363472,-110.931343,AZ,3704,108500902.0,0.0034137965046594
391,Valencia Solar,AZ,32.145833,-110.866944,AZ,26870,108500902.0,0.0247647710799676
392,Vista Grande HS at Casa Grande,AZ,32.891389,-111.713056,AZ,3059,108500902.0,0.0028193314005813
393,Waddell,AZ,33.8447,-112.2714,AZ,-20940,108500902.0,-0.0192993787277455
394,Walmart Casa Grande,AZ,32.866837,-111.771751,AZ,2184,108500902.0,0.0020128864919482
395,Western Renewable Energy,AZ,34.093006,-109.289979,AZ,0,108500902.0,0.0
396,Wilmot Energy Center LLC,AZ,32.043502,-110.892676,AZ,196974,108500902.0,0.1815413479235407
397,Yuma Cogeneration Associates,AZ,32.728822,-114.654053,AZ,52607,108500902.0,0.0484853112096708
398,1420 Coil Av #C,CA,33.794283,-118.241405,CA,1509,196943237.0,0.0007662106213883
399,"20333 Normandie PV, LLC",CA,33.84614,-118.30019,CA,5932,196943237.0,0.0030120353917001
400,2081 Terzian Solar Project,CA,36.67,-119.415833,CA,2840,196943237.0,0.0014420398706049
401,2097 Helton Solar Project,CA,37.352222,-120.506944,CA,3737,196943237.0,0.0018975010550882
402,2127 Harris Solar Project,CA,39.291667,-121.669722,CA,2474,196943237.0,0.0012561995210833
403,2555 E Olympic Bl,CA,34.026944,-118.224167,CA,0,196943237.0,0.0
404,85 A,CA,35.1011,-118.3372,CA,53596,196943237.0,0.027213932713008
405,85 B,CA,35.1011,-118.3372,CA,70906,196943237.0,0.0360032672764488
406,A G Wishon,CA,37.15105,-119.504724,CA,19184,196943237.0,0.0097408777738328
407,ABEC #2 dba West-Star Dairy,CA,35.472113,-119.432866,CA,7565,196943237.0,0.003841208317298
408,ABEC #3 dba Lakeview Dairy,CA,35.21426,-119.202974,CA,6906,196943237.0,0.0035065941360555
409,ABEC #4 dba CE&S Dairy,CA,35.17306,-119.116384,CA,7901,196943237.0,0.0040118158512851
410,ABEC Bidart-Old River LLC,CA,35.169722,-119.105556,CA,13126,196943237.0,0.0066648645568875
411,Acorn I Energy Storage LLC,CA,34.196505,-118.931898,CA,0,196943237.0,0.0
412,"Adapture CA2, LLC",CA,39.69898,-122.175583,CA,3223,196943237.0,0.0016365121489294
413,"Adelanto Solar II, LLC",CA,34.557222,-117.3775,CA,17315,196943237.0,0.0087918733660298
414,Adelanto Solar Project,CA,34.550833,-117.435277,CA,8715,196943237.0,0.0044251329127894
415,"Adelanto Solar, LLC",CA,34.557222,-117.3775,CA,56248,196943237.0,0.0285605136062631
416,Adera Solar,CA,37.120586,-120.32488,CA,27107,196943237.0,0.0137638643565099
417,Adobe San Jose,CA,37.330556,-121.893056,CA,0,196943237.0,0.0
418,Adobe Solar,CA,35.102778,-118.954444,CA,46875,196943237.0,0.0238012742727489
419,AEC- Santa Rosa Solar,CA,33.5293,-116.547706,CA,0,196943237.0,0.0
420,Aera San Ardo Cogen Facility,CA,35.953293,-120.859952,CA,7061,196943237.0,0.0035852970163174
421,Aerojet I,CA,38.613508,-121.162879,CA,5916,196943237.0,0.0030039112234151
422,Aerojet II,CA,38.6086,-121.1703,CA,4042,196943237.0,0.0020523680130229
423,Aerolease,CA,34.189857,-118.451355,CA,1896,196943237.0,0.0009627139417841
424,AES Alamitos Energy Center,CA,33.767229,-118.100194,CA,2930114,196943237.0,1.4877962019076592
425,"AES ES ALAMITOS, LLC",CA,33.770202,-118.099665,CA,-17622,196943237.0,-0.0089477558450001
426,AES Huntington Beach Energy Project,CA,33.645618,-117.979372,CA,3841745,196943237.0,1.950686430527188
427,Agnews Power Plant,CA,37.4058,-121.9272,CA,18702,196943237.0,0.0094961372042442
428,AGT000 Stevens Creek Fuel Cell,CA,37.32489,-121.99894,CA,16897,196943237.0,0.0085796294695816
429,Aidlin Geothermal Power Plant,CA,38.8339,-122.881,CA,99324,196943237.0,0.050432805671819
430,Alameda,CA,37.7886,-122.2889,CA,7354,196943237.0,0.0037340708480383
431,Alamo,CA,34.8158,-118.6867,CA,13172,196943237.0,0.0066882215407071
432,Alamo Solar,CA,34.682222,-117.3475,CA,47255,196943237.0,0.02399422326952
433,"Algonquin SKIC 10 Solar, LLC",CA,35.126111,-119.243361,CA,19783,196943237.0,0.0100450263240062
434,Algonquin SKIC20 Solar LLC,CA,35.126111,-119.243333,CA,46522,196943237.0,0.0236220348099589
435,Allergan,CA,33.67239,-117.85381,CA,0,196943237.0,0.0
436,Almond Power Plant,CA,37.5744,-120.985,CA,409275,196943237.0,0.2078136859302257
437,Alpaugh 50,CA,35.898333,-119.435278,CA,112266,196943237.0,0.0570042422934279
438,Alpaugh North,CA,35.9025,-119.442778,CA,43595,196943237.0,0.0221358197743038
439,Alpine Solar,CA,34.7892,-118.5047,CA,163655,196943237.0,0.0830975475436102
440,Alta Mesa Repower LLC,CA,33.942,-116.661,CA,0,196943237.0,0.0
441,Alta Powerhouse,CA,39.215979,-120.80355,CA,3807,196943237.0,0.0019330442913355
442,Alta Wind Energy Center I,CA,35.033725,-118.353422,CA,415045,196943237.0,0.2107434641180392
443,Alta Wind Energy Center II,CA,35.023889,-118.295278,CA,352140,196943237.0,0.1788027887446574
444,Alta Wind Energy Center III,CA,35.023889,-118.295278,CA,362991,196943237.0,0.1843124981235075
445,Alta Wind Energy Center IV,CA,35.008611,-118.242222,CA,177821,196943237.0,0.0902904830390291
446,Alta Wind Energy Center V,CA,35.008611,-118.242222,CA,274243,196943237.0,0.1392497676881385
447,Alta Wind VIII,CA,35.026683,-118.234811,CA,188556,196943237.0,0.0957412921978123
448,Alta Wind X,CA,35.06,-118.2,CA,395425,196943237.0,0.2007812027584374
449,Alta Wind XI,CA,35.065,-118.39,CA,276079,196943237.0,0.1401820159988535
450,AltaGas Ripon Energy Inc.,CA,37.732533,-121.116006,CA,4329,196943237.0,0.0021980952816369
451,Altamont Gas Recovery,CA,37.749308,-121.649866,CA,34440,196943237.0,0.0174872722336741
452,Alticor Inc - Solar Project,CA,33.878585,-117.99608,CA,1622,196943237.0,0.0008235875599018
453,Amazon - Patterson PV,CA,37.468888,-121.166326,CA,2683,196943237.0,0.0013623214693074
454,Amazon PSP1,CA,33.92624,-116.99442,CA,1521,196943237.0,0.0007723037476021
455,Amazon San Bernardino,CA,34.088408,-117.245839,CA,6969,196943237.0,0.0035385830486781
456,Amedee Geothermal Venture I,CA,40.300833,-120.105,CA,0,196943237.0,0.0
457,Ameresco Butte County,CA,39.674,-121.73,CA,13682,196943237.0,0.0069471794047946
458,Ameresco Chiquita Canyon,CA,34.431664,-118.642855,CA,29818,196943237.0,0.0151404031203163
459,Ameresco Forward,CA,37.883406,-121.185104,CA,31834,196943237.0,0.0161640483242387
