,Plant name,Plant state abbreviation,plant_annual_generation,state_annual_generation,perc_gen_state
672,BMW Manufacturing Co,SC,41458,98113889,0.04225497574558481
673,BNB Camden Solar,NJ,5046,61421718,0.008215335168579948
674,BP Carson Refinery,CA,0,196943237,0.0
675,BP Chemicals Green Lake Plant,TX,39899,481398138,0.008288150046812189
676,BPU Solar Farm,KS,1736,56572967,0.0030686034197216485
677,BRE,NC,8593,129720625,0.0066242357373779235
678,BRE NC Solar 3,NC,0,129720625,0.0
679,"BT Cooke Solar, LLC",TX,131860,481398138,0.027391049028112364
680,BWC Gibbs Brook,MA,6369,19429320,0.032780354639277136
681,BWC Harlow Brook,MA,2185,19429320,0.01124589023187636
682,"BWC Lake Lashaway, LLC Hybrid",MA,753,19429320,0.0038755859700699766
683,BWC Maces Pond LLC,ME,0,10900855,0.0
684,"BWC Muddy Brook, LLC Hybrid",MA,51,19429320,0.0002624898864190821
685,BWC Origination 18,MA,6912,19429320,0.03557509990056265
686,BWC Pocasset River,MA,2283,19429320,0.011750282562642439
687,"BWC Stony Brook, LLC Hybrid",MA,334,19429320,0.0017190514130190867
688,BWC Swan Pond River CSG,MA,2241,19429320,0.011534114420885548
689,"BWC Wading River One, Two, Three CSG",MA,4862,19429320,0.02502403583861916
690,BWC Wareham River,MA,1689,19429320,0.008693047414937836
691,BYU - Hawaii,HI,357,9180551,0.0038886554848396354
692,BYU Central Heating Plant,UT,115199,42560283,0.27067254228549187
693,BYUI Central Energy Facility,ID,38682,16834340,0.22978031808790841
694,Babcock Preserve,FL,166548,246185183,0.06765151256077016
695,Babcock Solar Energy Center Hybrid,FL,156550,246185183,0.06359034207188659
696,Back River Waste Water Treatment,MD,903,38166683,0.0023659378521313995
697,Backus Microgrid Project,CT,952,44079902,0.0021597144204177224
698,Bacliff,TX,147636,481398138,0.03066817013737598
699,Baconton Power Plant,GA,200432,124199660,0.1613788636780487
700,Bad Creek,SC,-427260,98113889,-0.4354735138467501
701,Badger,NC,10478,129720625,0.008077358554200614
702,Badger 1,AZ,37903,108500902,0.03493335013933801
703,Badger Creek Limited,CA,22196,196943237,0.01127025245350263
704,Badger Hollow I,WI,8249,64242371,0.012840435170115376
705,Baer Road CSG,NY,2774,123769368,0.0022412653832085496
706,Baffin Wind,TX,438974,481398138,0.09118730741746242
707,Bailey Farm LLC,NC,8508,129720625,0.006558710305319605
708,Bainbridge Solar,GA,2008,124199660,0.001616751607854643
709,Bakatsias Solar,NC,7946,129720625,0.006125471566298728
710,Baker,CA,0,196943237,0.0
711,Baker City Solar,OR,32377,61016793,0.053062441351186714
